Last Activity,Account Owner,Account Name,Billing State/Province,Type,Rating,Last Modified Date
-,Brett Floyd,sdfdsf,Pennsylvania,Customer - Direct,Warm,9/18/2023
-,Brett Floyd,test tests tsste,Alaska,Prospect,Warm,9/18/2023
-,Brett Floyd,Dickenson plc,KS,Customer - Channel,-,9/9/2023
-,Brett Floyd,Grand Hotels & Resorts Ltd,IL,Customer - Direct,Warm,9/9/2023
-,Brett Floyd,Express Logistics and Transport,OR,Customer - Channel,Cold,9/9/2023
-,Brett Floyd,University of Arizona,AZ,Customer - Direct,Warm,9/9/2023
-,Brett Floyd,United Oil & Gas Corp.,NY,Customer - Direct,Hot,9/9/2023
-,Brett Floyd,sForce,CA,-,-,9/9/2023
-,Brett Floyd,GenePoint,CA,Customer - Channel,Cold,9/9/2023
-,Brett Floyd,"United Oil & Gas, UK",UK,Customer - Direct,-,9/9/2023
-,Brett Floyd,"United Oil & Gas, Singapore",Singapore,Customer - Direct,-,9/9/2023
-,Brett Floyd,Edge Communications,TX,Customer - Direct,Hot,9/9/2023
-,Brett Floyd,Burlington Textiles Corp of America,NC,Customer - Direct,Warm,9/9/2023
-,Brett Floyd,Pyramid Construction Inc.,-,Customer - Channel,-,9/9/2023
-,Brett Floyd,Smith INC,PA,Customer - Direct,Warm,9/17/2023
-,Automated Process,Sample Account for Entitlements,-,-,-,9/9/2023
-,Brett Floyd,Floyd Compnay,NV,Customer - Channel,-,9/18/2023
-,Brett Floyd,the inc.,NV,Channel Partner / Reseller,Hot,9/23/2023
-,Brett Floyd,Johnson InC,-,Prospect,-,9/17/2023
-,Brett Floyd,APPEND TESTS,Pennsylvania,Prospect,Hot,9/22/2023
